献艺 ||| 表演 ||| 表演 技艺 给 特定 对象 欣赏 。
粉 ||| 红 淡 ||| 形容 粉红色 的 。
粉 ||| 物形 ||| 极细 的 小 颗粒 。
粉 ||| 用具 化妆 ||| 形容 皮肤 像 小孩子 一样 白里透红 的 。
粉 ||| 用具 化妆 ||| 形容 色谱 上 最 明亮 ， 可以 反射 所有 光线 的 。
粉 ||| 用具 化妆 ||| 形容 颜色 亮度高 ， 彩度 不 饱合 的 。
粉 ||| 用具 化妆 ||| 形容 有极 细微 的 颗粒感 。
粉 ||| 用具 化妆 ||| 形容 妆感 太 浓 不 自然 的 。
粉 ||| 用具 化妆 ||| 以 谷物 制成 的 条状 食材 。
粉 ||| 粉 ||| 形容 食物 质地 比 预期 松散 ， 口感 不好 。
节目 ||| 节目 ||| 各种 计划 进行 的 活动 。
节目 ||| 节目 ||| 用 各种 表演 呈现出 的 项目 。
热带阔叶林 ||| 热带阔叶林 ||| 位于 热带气候 区 ， 由 叶子 形状 宽阔 的 树 所 组成 的 树林 地区 。
双子座 ||| 类型值 问世 人 ||| 双子座 的 人 。
双子座 ||| 类型值 问世 人 ||| 星座 名 ， 星群 排列 像 两位 男生 ， 其中 二颗 最 明亮 的 星 是 他们 的 头部 。
双子座 ||| 类型值 问世 人 ||| 西洋 十二 星座 之一 ， 五月 二十一日 至 六月 二十日 之间 出生 者 的 命宫 。
贯彻始终 ||| 贯彻始终 ||| 从头到尾 彻底 实行 。
炼丹 ||| 制造 药物 医 ||| 提炼 长生不老 药 。
浮 ||| 浮 ||| 形容 比喻 情绪 烦躁不安 的 。
浮 ||| 浮 ||| 因 比重 小于 所在 气体 而 停留 在 该 气体 中 。
浮 ||| 浮 ||| 因 比重 小于 所在 液体 而 停留 在 该 液体 表面 。
浮 ||| 浮 ||| 在 特定 对象 中 显现 。
寺 ||| 设施 宗教 ||| 佛教 僧人 居住 并 供奉 神祇 的 机构 。
寺 ||| 设施 宗教 ||| 佛教 僧人 居住 并 供奉 神祇 的 机构 的 建筑物 及 建筑物 所在 的 位置 。
寺 ||| 设施 宗教 ||| 回教徒 礼拜 讲经 的 机构 。
寺 ||| 设施 宗教 ||| 回教徒 礼拜 讲经 的 机构 的 建筑物 及 建筑物 所在 的 位置 。
寺 ||| 寺 ||| 旧时 阉割 入宫 服侍 皇族 的 男子 。
寺 ||| 寺 ||| 中国 古代 政府 机构 的 名称 。
净 ||| 人 艺 ||| 中国 传统 戏曲 角色 之一 ， 为 性格 刚烈 、 暴躁 、 奸恶 的 男性 角色 。
净 ||| 人 艺 ||| 表 范围 内 的 全部 。
净 ||| 人 艺 ||| 表 限定 范围 。
净 ||| 人 艺 ||| 清除 污垢 杂质 ， 使 其 纯净 。
净 ||| 人 艺 ||| 形容 特定 对象 完全 没有 剩下 的 。
净 ||| 净 ||| 形容 没有 污垢 杂质 的 。
净 ||| 净 ||| 形容 去除 特定 成份 的 。
飞扬 ||| 激动 ||| 精神 兴奋 充满活力 。
飞扬 ||| 飞 上 ||| 向上 飘起 摆动 。
背 ||| 部件 身 后 动物 ||| 用 背 承载 后 述 对象 的 重量 。
背 ||| 部件 身 后 动物 ||| 人 造物 约定俗成 朝下 或 朝后 最 不 容易 观察 到 的 面 。
背 ||| 部件 身 后 动物 ||| 椅子 上 可供 背 倚靠 的 部份 。
背 ||| 部件 身 后 动物 ||| 整个 背部 ， 包括 内部 组织 等 。
背 ||| 部件 身 后 无生物 ||| 前述 物体 正面 相反 的 方向 ， 对 着 后述 地点 。
背 ||| 部件 身 后 动物 ||| 背部 表面 外型 的 部份 。
背 ||| 部件 身 后 动物 ||| 穿着 时 覆盖 于 背部 的 衣服 部份 。
背 ||| 部件 身 后 动物 ||| 将 有 带子 的 特定 物品 挂 在 躯干 上 ， 以 方便 携带 。
背 ||| 部件 身 后 动物 ||| 不需 提示 即可 将 后述 内容 说 出来 。
背 ||| 部件 身 后 动物 ||| 不 遵守 后 述 规定 或 不 履行 承诺 。
背 ||| 部件 身 后 动物 ||| 瞒 着 后述 对象 做事 。
背 ||| 部件 身 后 动物 ||| 将 特定 事物 放在 记忆 中 。
背 ||| 残疾 听 ||| 形容 听力 不好 。
背 ||| 背 ||| 比喻 承受 责任 或 义务 。
背 ||| 背 ||| 形容 运气 不好 。
返 ||| 返回 ||| 回到 先前 的 状态 。
返 ||| 返 ||| 从 其它 的 地方 到 原来 的 地方 或 处所 。
港 ||| 设施 靠近 水域 终止他移 放置 船 ||| 港 的 建筑物 及 建筑物 所在 的 位置 。
港 ||| 设施 靠近 水域 终止他移 放置 船 ||| 河边 或 海边 有 足够 水深 提供 船只 停靠 的 水域 。
港 ||| 设施 靠近 水域 终止他移 放置 船 ||| 紧邻 河边 或 海边 提供 乘客 搭乘 船只 装卸货物 的 地方 。
港 ||| 设施 靠近 水域 终止他移 放置 船 ||| 通常 用于 港口 附近 人们 群聚 的 地区 的 名称 。
港 ||| 设施 靠近 水域 终止他移 放置 船 ||| 通常 用于 港口 及其 周遭 区域 的 名称 。
港 ||| 地方 市 中国 专 ||| 台湾 地名 ， 位于 台北市 内 的 一个 行政区 。 ‘ 南港 ’ 的 简省 。
港 ||| 设施 靠近 水域 终止他移 放置 船 ||| 比喻 可 供 心灵 可以 依靠 的 特定 对象 。
港 ||| 设施 靠近 水域 终止他移 放置 船 ||| 通常 用于 江河 的 支流 的 名称 。
港 ||| 港 ||| 提供 飞机 起降 与 乘客 搭乘 场所 的 建筑物 及 建筑物 所在 的 位置 。
港 ||| 港 ||| 提供 飞机 起降 与 乘客 搭乘 的 场所 。
解决 ||| 消除 ||| 处理 特定 事件 使 其 有 结果 。
解决 ||| 解决 ||| 比喻 打败 对手 成功 完成 竞赛 中 的 特定 阶段 。
解决 ||| 解决 ||| 使 动物 失去 生命 。
解决 ||| 解决 ||| 完成 后 述 对象 所 代表 的 事件 。
立法院 ||| 机构 台湾 政 专 形成 律法 ||| 台湾 中央政府 五院 之一 ， 为 台湾 国会 。
立法院 ||| 机构 台湾 政 专 形成 律法 ||| 立法院 的 建筑物 及 建筑物 所在 的 位置 。
琐碎 ||| 琐 ||| 形容 细小 而 零散 的 。
琐碎 ||| 琐碎 ||| 形容 比喻 繁杂 的 。
多方 ||| 多方 ||| 表 多个 方面 。
多方 ||| 多方 ||| 表 多种 方法 。
多方 ||| 多方 ||| 形容 多个 相对 或 并列 的 对象 。
画廊 ||| 部件 络 建筑物 ||| 展示 画 的 场所 。
画廊 ||| 部件 络 建筑物 ||| 展示 一般 艺术品 的 场所 。
寒 ||| 天象 冷 时间 冬 ||| 学校 每逢 冬季 ， 依 规定 的 放假 时间 。 ‘ 寒假 ’ 的 简省 。
寒 ||| 天象 冷 时间 冬 ||| 形容 食材 或 药材 会 使 身体 阳气 衰竭 且 免疫 机能 下降 的 。
寒 ||| 寒 ||| 形容 比喻 灰心 、 失望 的 ， 常 与 ‘ 心 ’ 连用 。
寒 ||| 寒 ||| 形容 比喻 让 人 产生 凉爽 温度 感 的 ， 用于 颜色 。
寒 ||| 寒 ||| 形容 身体 阳气 衰竭 且 免疫 机能 下降 的 状态 。
寒 ||| 寒 ||| 形容 温度 低 或 感觉 温度 低 的 。
寒 ||| 寒 ||| 形容 温度 降低 的 。
寒 ||| 寒 ||| 姓 。
案发 ||| 发生 事情 有罪 ||| 犯罪案件 发生 。
住院 ||| 住下 场所 医 医治 疾病 ||| 病人 住进 医院 接受 治疗 。
利 ||| 钱财 金融 赚 ||| 借贷 或 存款 事件 中 依照 本金 的 一定 比例 所 增加 的 金额 。
利 ||| 钱财 金融 赚 ||| 商业行为 中 扣除 成本 后 所 赚 的 钱 。
利 ||| 利 状况 实体 事件 ||| 比喻 特定 对象 主观 认为 的 好处 。
利 ||| 利 状况 实体 事件 ||| 使 后述 对象 得到 好处 。
利 ||| 利 ||| 使 器具 锋利 。
利 ||| 姓 ||| 姓 。
利 ||| 利 ||| 促进 后 述 对象 的 进行 。
利 ||| 利 ||| 形容 比喻 威力 大有 杀伤力 的 。
利 ||| 利 ||| 形容 比喻 言语 具有 杀伤力 的 。
利 ||| 利 ||| 形容 切割 器具 的 切割 面薄 ， 容易 切割 。
克 ||| 单位 重量 ||| 计算 重量 的 单位 。 公制 一 公克 等于 一 公斤 的 千分之一 。
克 ||| 单位 重量 ||| 重量 的 单位 。 公制 一 公克 等于 一 公斤 的 千分之一 。
克 ||| 战胜 ||| 制服 后 述 对象 ， 使 其 屈服 。
克 ||| 克 ||| 命理 中 表示 前述 对象 会为 后述 对象 带来 厄运 。
克 ||| 克 ||| 在 竞争 中 获胜 。
销售 ||| 销售 ||| 将 物品 所有权 或 使用权 转移 以 取得 金钱 。
霍 ||| 姓 ||| 姓 。
殿堂 ||| 房屋 皇 ||| 比喻 受 众人 所 尊崇 的 领域 或 机构 。
殿堂 ||| 房间 ||| 建筑物 里 高大 华丽 的 大厅 。
殿堂 ||| 殿堂 ||| 高大 华丽 的 建筑物 。
幼稚园 ||| 场所 照料 人 少儿 ||| 幼稚园 的 建筑物 及 建筑物 所在 的 位置 。
幼稚园 ||| 场所 照料 人 少儿 ||| 以 训练 学龄前 儿童 养成 良好 生活习惯 及 培养 基本 学习 能力 为 主要 目的 的 机构 。
月 ||| 频度值 时间 月 单 ||| 计算 时间 的 单位 ， 一个月 约 为 30 天 。
月 ||| 频度值 时间 月 单 ||| 时间 的 单位 ， 一个月 约 为 30 天 。
月 ||| 频度值 时间 月 单 ||| 形容 每月 的 。
月 ||| 频度值 时间 月 单 ||| 晚上 天空 最 明显 的 发光 的 天体 ， 二十八日 有 形状 的 周期 改变 。
月 ||| 频度值 时间 月 单 ||| 时段 的 单位 ， 。
月 ||| 天体 ||| 地球 的 卫星 。
月 ||| 月 ||| 姓 。
避 ||| 躲避 ||| 避开 后 述 对象 。
避 ||| 阻止 ||| 比喻 抵挡 后 述 对象 或 事件 造成 的 负面影响 。
避 ||| 避 ||| 姓 。
避 ||| 避 ||| 在 事情 发生 前 做 准备 ， 不让 其 发生 。
外传 ||| 传播 ||| 散播 到 外 ， 常用 于 否定 。
外传 ||| 读物 非正式 ||| 非正式 ， 着重 趣味性 的 传记 。
外传 ||| 读物 非正式 ||| 以 文字 叙述 来 说明 原本 经书 所 记载 的 内容 的 书 。
外传 ||| 读物 非正式 ||| 在 正史 之外 所写 的 传记 。
外传 ||| 外传 ||| 表后述 未经 证实 的 消息 来自 外界 。
外传 ||| 外传 ||| 由 外界 得到 的 未经 证实 的 消息 。
企图 ||| 企图 ||| 计划 与 图谋 。
企图 ||| 企图 ||| 有所 计划 与 图谋 。
美帝 ||| 美帝 ||| 美国 的 贬称 。
旅行 ||| 旅游 ||| 从 原来 所在地 经过 一段 行程 到 其他 地方 ， 然后 再 回到 原来 所在地 。
旅行 ||| 旅游 ||| 为了 休闲 或 娱乐 旅行 。
旅行 ||| 旅游 ||| 为了 休闲 或 娱乐 所 做 的 旅行 。
通话 ||| 谈话 ||| 以 特定 媒介 互相 交谈 。
镀金 ||| 外表值 经受 涂抹 金属 ||| 获得 金牌 或用 ‘ 金 ’ 命名 的 重要 奖项 。
镀金 ||| 涂抹 工 金属 ||| 在 器物 的 表面 镀上 一层 薄金 。
镀金 ||| 外表值 经受 涂抹 金属 ||| 比喻 借由 受到 他人 肯定 的 方式 提高 自己 的 身价 。
周 ||| 时间 朝代 中国 皇 专 过去 ||| 中国 朝代 名 ， 五代 之一 ， 西元 951 年 至 西元 960 年 ， 由 郭威 所建 。
周 ||| 时间 朝代 中国 皇 专 过去 ||| 中国 朝代 名 ， 西元 690 年 至 西元 705 年 ， 由 武则天 所 建立 。
周 ||| 时间 朝代 中国 皇 专 过去 ||| 中国 朝代 名 ， 西元前 1046 年 至 西元前 256 年 ， 由姬 发所建 。
周 ||| 时间 周 ||| 时间 的 单位 ， 一个 礼拜 有 七天 。
周 ||| 时间 朝代 中国 皇 专 过去 ||| 后周 的 国号 。
周 ||| 时间 朝代 中国 皇 专 过去 ||| 后周 的 政权 。
周 ||| 时间 朝代 中国 皇 专 过去 ||| 周朝 的 国号 。
周 ||| 时间 朝代 中国 皇 专 过去 ||| 周朝 的 政权 。
周 ||| 单位 频度 ||| 计算 起点 与 终点 重复 的 运动 次数 的 单位 。
周 ||| 时间 朝代 中国 皇 专 过去 ||| 时间 的 单位 ， 一周 有 七天 。
周 ||| 姓 ||| 姓 。
师大 ||| 场所 教育 高等 学习 教 ||| 台湾 师范大学 的 建筑物 及 建筑物 所在 的 位置 。 ‘ 台湾 师范大学 ’ 、 ‘ 台湾 师范大学 ’ 的 缩写 。
师大 ||| 场所 教育 高等 学习 教 ||| 台湾 国立大学 之一 ， 位于 台北市 大安区 。 ‘ 台湾 师范大学 ’ 、 ‘ 台湾 师范大学 ’ 的 缩写 。
吸 ||| 吸引 ||| 利用 磁力 或 引力 将 后述 物体 引 到 特定 位置 。
吸 ||| 吸收 ||| 动物 用口 或 鼻 摄取 后 述 气体 。
吸 ||| 吸收 ||| 动物 用口 或 口器 摄取 后 述 对象 。
吸 ||| 吸收 ||| 生物体 摄取 液态 的 维生 物质 。
吸 ||| 吸收 ||| 使用 会 令人 上瘾 的 物品 ， 通常 用口 或 鼻 摄入 。
吸 ||| 吸收 ||| 物体 吸收 后 述 能量 。
吸 ||| 吸收 ||| 物体 吸收 后 述 液体 。
吸 ||| 拉 ||| 将 后述 对象 的 注意力 引 到 自己 这边 来 。
吸 ||| 吸 ||| 比喻 大量 取得 后 述 利益 。
吸 ||| 吸 ||| 比喻 接受 获取 、 理解 掌握 外界 的 事物 、 资讯 或 知识 。
吸 ||| 吸 ||| 含在口中 ， 为 不 自主 的 习惯性 动作 。
吸 ||| 吸 ||| 物体 使 后述 波动 现象 减弱 或 消失 。
算命 ||| 算命 ||| 以 种种 方式 预测 吉凶祸福 。
锈 ||| 锈 ||| 金属表面 因 氧化 而 形成 的 物质 。
锈 ||| 锈 ||| 前述 物质 附着 在 特定 物体 表面 所 留下 的 痕迹 。
锈 ||| 锈 ||| 形容 比喻 身体 特定 器官 功能 减弱 。
锈 ||| 锈 ||| 形容 金属表面 因 氧化 而 腐蚀 。
辑 ||| 辑 ||| 成套 书籍 或 出版 品 的 单位 。
辑 ||| 辑 ||| 计算 成套 书籍 或 出版 品 的 单位 。
辑 ||| 辑 ||| 收录 资料 后 整理 成特定 书籍 或 刊物 。
秋季 ||| 时间 秋 ||| 一年四季 中 的 第三季 。
无疑 ||| 无疑 ||| 表 肯定 特定 事件 的 真实性 。
无疑 ||| 无疑 ||| 形容 对 特定 事件 的 真实性 没有 怀疑 。
内政部 ||| 部件 专 机构 政 管理 事务 警 ||| 掌管 国家 内务 行政事务 的 政府 机构 。
内政部 ||| 部件 专 机构 政 管理 事务 警 ||| 内政部 的 建筑物 及 建筑物 所在 的 位置 。
小人 ||| 人 歹 ||| 品格 卑劣 的 人 ， 常用 来 指 陷害 别人 的 人 。
小人 ||| 人 歹 ||| 地位 低 的 人 。
小人 ||| 人 歹 ||| 身材矮小 的 人 。
诗经 ||| 书刊 文 ||| 五经 之一 ， 中国 最早 的 诗歌 总集 内容 的 载体 ， 通常 为 书本 或 纸张 。
诗经 ||| 书刊 文 ||| 五经 之一 ， 中国 最早 的 诗歌 总集 ， 指 内容 部份 。
野生 ||| 野生 ||| 形容 自然 生长 而 非人工 饲养 的 。
错过 ||| 错过 ||| 没有 在 后述 事件 发生 的 时间 或 在 后述 物体 出现 的 地点 把握住 该 事件 或 物体 。
胶 ||| 材料 用具 ||| 形容 以 塑胶 或 橡胶 制成 的 。
胶 ||| 材料 用具 ||| 以胶 、 类似 物质 或 特定 方式 使 特定 物体 附著于 后述 物体 上 。
胶 ||| 拴连 ||| 可 黏合 多个 特定 物体 的 稠 状物质 。
胶 ||| 材料 用具 ||| 具 特定 功能 的 稠 状物质 。
胶 ||| 材料 用具 ||| 组成 皮肤 、 肌腱 、 骨骼 、 软骨 等 有机 组织 的 主要 成分 ， 用来 食用 。
胶 ||| 胶 ||| 比喻 在 后述 对象 身边 或 和 其 保持 密切联系 。
胶 ||| 胶 ||| 姓 。
坑 ||| 部件 口 陆地 ||| 地面 凹入 可以 容纳 其他 物体 的 地方 。
坑 ||| 部件 口 陆地 ||| 地面 上供 人上 厕所 的 凹陷处 。
坑 ||| 部件 口 陆地 ||| 计算 地面 上 凹陷处 的 单位 。
坑 ||| 部件 口 陆地 ||| 将 动物 活体 埋进 坑 中 。
坑 ||| 欺骗 ||| 欺诈 他人 ， 求索 财物 利益 。
坑 ||| 部件 口 陆地 ||| 穿 入 陆块 所 形成 的 通道 。
渔丝 ||| 渔丝 ||| 用来 钓鱼 的 线 。
过人 ||| 强过 ||| 形容 能力 超越 一般 人 。
打气 ||| 喂 车 运动器材 圆 气 ||| 施加压力 使 气体 进入 特定 对象 中 。
打气 ||| 促使 ||| 勉励 后 述 对象 ， 以 增加 其 做事 的 信心 和 力量 。
似地 ||| 功能词 构助 ||| 表示 类似 前述 的 事物 。
立场 ||| 立场 ||| 对 特定 事件 的 态度 。
立场 ||| 立场 ||| 符合 进行 特定 事件 的 身分 。
出身 ||| 出身 人 ||| 个人 最 重要 足以 决定 其 归属 或 社会 地位 的 学历 或 资历 。
出身 ||| 出身 人 ||| 因 个人 的 早期 经历 或 因 家庭 背景 而 属于 的 社会 层级 或 身份 。
出身 ||| 出身 ||| 比喻 家庭 经济 状况 。
逢 ||| 功能词 ||| 比喻 在 没有 预期 下 经历 后 述 情况 。
逢 ||| 功能词 ||| 引介 用来 标示 时间 的 事件 。
逢 ||| 功能词 ||| 未经 安排 而 见到 后 述 对象 。
癌 ||| 疾病 肿胀 不会 医 控制 ||| 人体 体内 细胞 异常 分裂 不 受 控制 而 形成 恶性肿瘤 的 疾病 。
癌 ||| 癌 ||| 比喻 危害 特定 对象 的 事物 。
氟 ||| 化学物 ||| 化学元素 之一 ， 原子序 为 9 ， 化学 符号 为 F ， 是 电 负度 最大 的 元素 。
墨 ||| 地方 国家 南美 政 专 ||| 国名 ， 美洲 中部 的 国家 ， 位于 美国 与 拉丁美洲 之间 。 ‘ 墨西哥 ’ 的 简省 。
墨 ||| 地方 国家 南美 政 专 ||| 治理 墨西哥 的 政府 。 ‘ 墨西哥 ’ 的 缩写 。
墨 ||| 地方 国家 南美 政 专 ||| 墨西哥 的 文化 。 ‘ 墨西哥 ’ 的 简省 。
墨 ||| 地方 国家 南美 政 专 ||| 以 墨子 为 代表 的 墨家 思想 。 ‘ 墨家 ’ 的 缩写 。
墨 ||| 地方 国家 南美 政 专 ||| 在 竞争 中 被 打败 。
墨 ||| 地方 国家 南美 政 专 ||| 中国 书法 或 绘画 时所 使用 的 黑色 颜料 ， 通常 由 松烟 或 煤烟 制成 。
墨 ||| 地方 国家 南美 政 专 ||| 中国 战国时代 思想家 ， 提倡 兼爱 、 非攻 、 节 用 ， 本名 墨翟 。 ‘ 墨子 ’ 的 缩写 。
墨 ||| 用具 画 写 ||| 写字 、 绘画 或 印刷 时所 使用 的 液态 颜料 。
墨 ||| 黑 ||| 鱿鱼 、 墨鱼 、 章鱼 等 头足 动物所 喷出 具有 保护 掩蔽 作 的 黑色 体液 。
墨 ||| 用具 画 写 ||| 形容 颜色 带有 深灰 成份 且 亮度 低 的 。
墨 ||| 墨 ||| 古代 刑罚 之一 ， 在 罪犯 脸上 刻字 。
墨 ||| 墨 ||| 形容 比喻 指数 下跌 。
墨 ||| 墨 ||| 姓 。
公共 ||| 公共 ||| 形容 供 大众 所 使用 的 。
公共 ||| 公共 ||| 形容 与 大众 相关 的 。
往往 ||| 经常 ||| 表在 前述 条件 下 ， 经常 发生 。
相反地 ||| 相反地 ||| 表与 共同 预设 不同 。
关连 ||| 有关 ||| 事物 相互之间 发生 的 关系 和 影响 。
关连 ||| 有关 ||| 事物 相互之间 发生 关系 和 影响 。 常 与 ‘ 相 ’ 连用 。
比方 ||| 词语 比拟 ||| 用来 说明 难以 理解 的 概念 ， 通常 是 用 比较 浅显 或 具体 的 方式 。
比方 ||| 比方 ||| 引介 例子 。
比方 ||| 比方 ||| 引介 条件 ， 表 假如 的 意思 ， 为 委婉 用法 。
透 ||| 经过 ||| 容许 后 述 物质 穿过 或 渗入 。
透 ||| 经过 ||| 在 前述 背景 状态 中 显露出 后 述 状态 ， 用于 ‘ … 里 透 … ’ 。 常用 于 颜色 。
透 ||| 极 ||| 表 描述 对象 已 完全 进入 前述 物理 状态 。
透 ||| 极 ||| 物体 被 渗入 的 液体 完全 充满 。
透 ||| 透 ||| 比喻 抒发 情绪 、 排解 压力 。 与 ‘ 气 ’ 连用 。
透 ||| 透 ||| 表达 到 最高 程度 。
透 ||| 透 ||| 表 明白 。
透 ||| 透 ||| 将 原来 不为人知 的 讯息 传达出来 。
透 ||| 透 ||| 通过 路径 到达 后 述 对象 。
